Bin | Expected (Py) | FFT Core (Raw) | SPI Rx (Final) | Status
----|---------------|----------------|----------------|-------
  0 | 00000000 | 00000000 | xxxxxxxx | ERR
  1 | 00000000 | 00000000 | xxxxxxxx | ERR
  2 | 019080af | 019080b3 | xxxxxxxx | ERR
  3 | 00000000 | 00000000 | xX000000 | ERR
  4 | 00000000 | 00000000 | 00000000 |  OK
  5 | 00000000 | 00000000 | 0191000e | ERR
  6 | 018fd594 | 018fd582 | 00000000 | ERR
  7 | 00000000 | 00000000 | 00000000 |  OK
  8 | 00000000 | 00000000 | 00000000 |  OK
  9 | 00000000 | 00000000 | 01900017 | ERR
 10 | 0190e692 | 0184e68d | 00000000 | ERR
 11 | 00000000 | 00000000 | 00000000 |  OK
 12 | 00000000 | 00000000 | 00000000 |  OK
 13 | 00000000 | 00000000 | 01900023 | ERR
 14 | 0190eddc | 019ceddf | 00000000 | ERR
 15 | 00000000 | 00000000 | 00000000 |  OK
 16 | 00000000 | 00000000 | 00000000 |  OK
 17 | 00000000 | 00000000 | 018f002c | ERR
 18 | 0190f1ea | 018bf1f2 | 00000000 | ERR
 19 | 00000000 | 00000000 | 00000000 |  OK
 20 | 00000000 | 00000000 | 00000000 |  OK
 21 | 00000000 | 00000000 | 01910036 | ERR
 22 | 018ff47f | 0191f478 | 00000000 | ERR
 23 | 00000000 | 00000000 | 00000000 |  OK
 24 | 00000000 | 00000000 | 00000000 |  OK
 25 | 00000000 | 00000000 | 01900040 | ERR
 26 | 0190f64b | 0190f64c | 00000000 | ERR
 27 | 00000000 | 00000000 | 00000000 |  OK
 28 | 00000000 | 00000000 | 00000000 |  OK
 29 | 00000000 | 00000000 | 0190004a | ERR
 30 | 018ff79c | 0190f79c | 00000000 | ERR
 31 | 00000000 | 00000000 | 00000000 |  OK
 32 | 00000000 | 00000000 | 00000000 |  OK
 33 | 00000000 | 00000000 | 01900054 | ERR
 34 | 018ff89f | 0190f89e | 00000000 | ERR
 35 | 00000000 | 00000000 | 00000000 |  OK
 36 | 00000000 | 00000000 | 00000000 |  OK
 37 | 00000000 | 00000000 | 0190005e | ERR
 38 | 018ff96c | 018ef96c | 00000000 | ERR
 39 | 00000000 | 00000000 | 00000000 |  OK
 40 | 00000000 | 00000000 | 00000000 |  OK
 41 | 00000000 | 00000000 | 01910069 | ERR
 42 | 0190fa13 | 018ffa0d | 00000000 | ERR
 43 | 00000000 | 00000000 | 00000000 |  OK
 44 | 00000000 | 00000000 | 00000000 |  OK
 45 | 00000000 | 00000000 | 018f0075 | ERR
 46 | 0190fa9d | 0193fa9f | 00000000 | ERR
 47 | 00000000 | 00000000 | 00000000 |  OK
 48 | 00000000 | 00000000 | 00000000 |  OK
 49 | 00000000 | 00000000 | 0190007d | ERR
 50 | 018ffb12 | 018afb11 | 00000000 | ERR
 51 | 00000000 | 00000000 | 00000000 |  OK
 52 | 00000000 | 00000000 | 00000000 |  OK
 53 | 00000000 | 00000000 | 0190008b | ERR
 54 | 018ffb76 | 0194fb75 | 00000000 | ERR
 55 | 00000000 | 00000000 | 00000000 |  OK
 56 | 00000000 | 00000000 | 00000000 |  OK
 57 | 00000000 | 00000000 | 01900095 | ERR
 58 | 0190fbcc | 0192fbcb | 00000000 | ERR
 59 | 00000000 | 00000000 | 00000000 |  OK
 60 | 00000000 | 00000000 | 00000000 |  OK
 61 | 00000000 | 00000000 | 019000a0 | ERR
 62 | 0190fc18 | 0192fc1a | 00000000 | ERR
 63 | 00000000 | 00000000 | 00000000 |  OK
 64 | 00000000 | 00000000 | 00000000 |  OK
 65 | 00000000 | 00000000 | 019000ab | ERR
 66 | 018ffc5b | 018efc5b | 00000000 | ERR
 67 | 00000000 | 00000000 | 00000000 |  OK
 68 | 00000000 | 00000000 | 00000000 |  OK
 69 | 00000000 | 00000000 | 019000b6 | ERR
 70 | 018ffc97 | 018efc96 | 00000000 | ERR
 71 | 00000000 | 00000000 | 00000000 |  OK
 72 | 00000000 | 00000000 | 00000000 |  OK
 73 | 00000000 | 00000000 | 019200c2 | ERR
 74 | 0190fccd | 018efcca | 00000000 | ERR
 75 | 00000000 | 00000000 | 00000000 |  OK
 76 | 00000000 | 00000000 | 00000000 |  OK
 77 | 00000000 | 00000000 | 019000d1 | ERR
 78 | 0190fcfe | 0192fcfd | 00000000 | ERR
 79 | 00000000 | 00000000 | 00000000 |  OK
 80 | 00000000 | 00000000 | 00000000 |  OK
 81 | 00000000 | 00000000 | 019100db | ERR
 82 | 0190fd2a | 018dfd29 | 00000000 | ERR
 83 | 00000000 | 00000000 | 00000000 |  OK
 84 | 00000000 | 00000000 | 00000000 |  OK
 85 | 00000000 | 00000000 | 019200eb | ERR
 86 | 0190fd52 | 0192fd4f | 00000000 | ERR
 87 | 00000000 | 00000000 | 00000000 |  OK
 88 | 00000000 | 00000000 | 00000000 |  OK
 89 | 00000000 | 00000000 | 019100f7 | ERR
 90 | 018ffd77 | 0191fd77 | 00000000 | ERR
